id,name,slug,sku,price,currency,on_sale,in_stock,permalink,image,categories
3704,Trofai-400g,trofai-800g,SVA-1685557358975,4.59,GBP,FALSE,TRUE,https://fremu.co.uk/product/trofai-800g/,https://fremu.co.uk/wp-content/uploads/2023/10/Trofai.png,Category: Cupboard Food
4560,Dunn&#8217;s River Tropical Seasoning &#8211; 100g,dunns-river-tropical-seasoning-100g,,1.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/dunns-river-tropical-seasoning-100g/,https://fremu.co.uk/wp-content/uploads/2023/10/Tropical-seasoning-100g.png,Category: Spices &amp; Seasonings
3820,Tropical snack &#8211; plantain chips &#8211; 35g,tropical-snack-plantain-chips-35g,SVA-1685724583711,0.5,GBP,FALSE,FALSE,https://fremu.co.uk/product/tropical-snack-plantain-chips-35g/,https://fremu.co.uk/wp-content/uploads/2023/10/Tropical-snacks-plantain-chips-1.png,Snacks &amp; Breads
3649,Zomi Palm Oil &#8211; 2L,zomi-palm-oil-2l,SVA-1685541818409,5.89,GBP,FALSE,TRUE,https://fremu.co.uk/product/zomi-palm-oil-2l/,https://fremu.co.uk/wp-content/uploads/2023/10/Zomi-palm-oil-2L.png,Category: Cupboard Food
3648,Zomi Palm Oil &#8211; 1L,zomi-palm-oil,SVA-1685541658997,5.59,GBP,FALSE,TRUE,https://fremu.co.uk/product/zomi-palm-oil/,https://fremu.co.uk/wp-content/uploads/2023/10/admin-ajax-2-1.png,Category: Cupboard Food
4568,Tropical Snack &#8211; Cashew Snacks,tropical-snack-cashew-snacks,,2.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/tropical-snack-cashew-snacks/,https://fremu.co.uk/wp-content/uploads/2023/10/Cashew-nuts.png,Snacks &amp; Breads
4572,Dunn&#8217;s River Cock Flavoured Seasoning &#8211; 100g,dunns-river-cock-flavoured-seasoning-100g,,1.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/dunns-river-cock-flavoured-seasoning-100g/,https://fremu.co.uk/wp-content/uploads/2023/10/Cock-flavoured-seasoning-100g.png,Category: Spices &amp; Seasonings
3713,De Rica -850g,de-rica-850g,SVA-1685559177047,3.29,GBP,FALSE,TRUE,https://fremu.co.uk/product/de-rica-850g/,https://fremu.co.uk/wp-content/uploads/2023/10/Doppio-Concentrato-big.png,Category: Cupboard Food
3712,De rica Dippio Concentrato -70g,de-rica-70g,SVA-1685559114483,0.69,GBP,FALSE,FALSE,https://fremu.co.uk/product/de-rica-70g/,https://fremu.co.uk/wp-content/uploads/2021/06/De-Rica-Tomato-Puree-70g.jpg,Category: Cupboard Food
3643,De rica 400g,de-rica-400g-2,SVA-1685537832981,1.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/de-rica-400g-2/,https://fremu.co.uk/wp-content/uploads/2023/10/Doppio-concetrate-small.png,Category: Cupboard Food
